Zur's Weirding; FMB1; 2; Foil; 32
Obosh, the Preypiercer; IKO; 1; ; 228
Obosh, the Preypiercer; IKO; 1; Foil; 228
Oblivion's Hunger; ZNR; 2; ; 119
Oblivion's Hunger; ZNR; 1; Foil; 119
Oblivion Stone; IMA; 1; ; 223
Obelisk Spider; HOU; 1; ; 141
Obelisk of Urd; ZNC; 1; ; 115
Ob Nixilis's Cruelty; WAR; 5; ; 101
Oathsworn Vampire; RIX; 2; ; 80
Oathsworn Vampire; RIX; 1; Foil; 80
Oathsworn Knight; ELD; 1; ; 354
Oath of Teferi; DOM; 1; ; 200
Oath of Kaya; WAR; 2; ; 209
Oath of Gideon; OGW; 1; ; 30
Oasis Ritualist; HOU; 2; ; 124
Oashra Cultivator; AKH; 2; ; 177
Oakhame Ranger // Bring Back; ELD; 1; ; 212
Oakhame Adversary; ELD; 1; ; 167
O-Naginata; 2XM; 1; ; 278
Nyxborn Shieldmate; BNG; 1; ; 21
Nyxborn Colossus; THB; 1; ; 191
Nyx Lotus; THB; 1; ; 235
Nyx Infusion; JOU; 1; ; 77
Nymris, Oona's Trickster; CMR; 1; ; 288
Nylea's Huntmaster; THB; 1; Foil; 187
Numa, Joraga Chieftain; CMR; 1; ; 246
Nuisance Engine; HOP; 1; ; 121
Noxious Groodion; RNA; 1; ; 78
Novijen, Heart of Progress; C21; 1; ; 305
Notorious Throng; ZNC; 1; ; 33
Notion Thief; ZNC; 1; ; 96
Notion Rain; GRN; 2; ; 193
Not Forgotten; SOI; 1; ; 30
Nomad Outpost; C20; 2; ; 294
Noggle Bandit; FMB1; 1; Foil; 96
Nocturnal Feeder; JMP; 1; ; 16
No Escape; WAR; 2; ; 63
Nivix Cyclops; DGM; 1; ; 87
Nissa, Genesis Mage; HOU; 1; Foil; 200
Nissa's Zendikon; ZNR; 3; ; 197
Nissa's Zendikon; ZNR; 1; Foil; 197
Nissa's Renewal; BFZ; 1; ; 180
Nissa's Expedition; C21; 1; ; 200
Nissa's Encouragement; HOU; 2; ; 203
Nissa of Shadowed Boughs; ZNR; 1; ; 231
Nissa of Shadowed Boughs; ZNR; 1; ; 283
Ninja of the New Moon; MH1; 1; ; 99
Ninja of the Deep Hours; MB1; 1; ; 446
Ninja of the Deep Hours; TSR; 1; ; 313
Nimbus Swimmer; GTC; 1; ; 181
Nimbus Naiad; THS; 2; ; 56
Nimble Trapfinder; ZNR; 2; ; 72
Nimble Trapfinder; ZNR; 1; Foil; 72
Nimana Skydancer; ZNR; 3; ; 117
Nimana Skitter-Sneak; ZNR; 4; ; 116
Nimana Skitter-Sneak; ZNR; 1; Foil; 116
Niko Defies Destiny; KHM; 2; ; 226
Niko Aris; KHM; 1; ; 289
Nihiloor; AFC; 1; ; 323
Nightveil Sprite; ZNC; 1; ; 32
Nightveil Specter; GK1; 1; ; 19
Nightveil Predator; GRN; 1; ; 191
Nightsquad Commando; IKO; 3; ; 98
Nightshade Harvester; CMR; 1; ; 650
Nightmarish End; JOU; 1; ; 76
Nightmare's Thirst; M19; 1; ; 111
Nightmare Shepherd; THB; 1; ; 108
Nighthowler; ZNC; 1; ; 49
Nighthawk Scavenger; ZNR; 2; ; 115
Night Market Guard; AER; 3; ; 166
Night Market Guard; BBD; 1; ; 242
Nicol Bolas, Dragon-God; WAR; 2; ; 207
Niblis of Dusk; SOI; 1; ; 76
Niambi, Faithful Healer; DOM; 2; ; 272
Nezahal, Primal Tide; RIX; 1; ; 45
New Horizons; XLN; 2; ; 198
New Horizons; WAR; 4; ; 168
Nevinyrral's Disk; CMR; 1; ; 696
Neverwinter Dryad; AFR; 1; ; 195
Neverwinter Dryad; AFR; 2; ; 329
Neutralize; IKO; 1; ; 59
Nettlecyst; MH2; 1; ; 231
Netherborn Phalanx; GK1; 1; ; 6
Netcaster Spider; M20; 1; ; 184
Nested Shambler; MH2; 1; ; 399
Nested Shambler; MH2; 1; ; 95
Nest Robber; XLN; 1; ; 152
Neglected Heirloom; SOI; 1; ; 260
Negate; AER; 1; ; 40
Negate; BBD; 2; ; 123
Negate; M20; 4; ; 69
Negate; RIX; 2; ; 44
Negate; STA; 2; ; 18
Negate; ZNR; 4; ; 71
Negate; ZNR; 1; Foil; 71
Nef-Crop Entangler; AKH; 1; ; 144
Needletooth Raptor; RIX; 1; ; 107
Needlethorn Drake; STX; 5; ; 208
Needlethorn Drake; STX; 1; Foil; 208
Needlepeak Spider; TSR; 1; ; 177
Needle Spires; ZNC; 1; ; 137
Necrotic Sliver; PLIST; 1; ; 221
Necrotic Fumes; STX; 1; ; 78
Necropanther; IKO; 1; ; 196
Necromantic Summons; ORI; 1; Foil; 110
Necromantic Selection; ZNC; 1; ; 48
Necromancer's Familiar; MH2; 2; ; 94
Necrogoyf; MH2; 2; ; 93
Naya Panorama; ZNC; 1; ; 136
Naya Charm; ZNC; 1; ; 95
Navigator's Compass; DOM; 1; ; 225
Navigator's Compass; DOM; 1; Foil; 225
Nature's Way; KLD; 1; ; 162
Nature's Spiral; DOM; 1; ; 175
Nature's Chant; MH1; 1; ; 210
Naturalize; DTK; 1; ; 193
Naturalize; RIX; 5; ; 139
Natural State; OGW; 2; ; 136
Natural Obsolescence; AER; 4; ; 118
Natural Connection; BFZ; 1; ; 179
Natural Connection; MB1; 2; ; 1273
Narset, Parter of Veils; WAR; 1; ; 61
Narset of the Ancient Way; IKO; 1; ; 278
Narnam Renegade; AER; 3; ; 117
Narfi, Betrayer King; KHM; 2; ; 224
Narfi, Betrayer King; KHM; 1; ; 329
Nantuko Tracer; JUD; 1; ; 125
Nantuko Shaman; IMA; 2; ; 176
Nantuko Shaman; TSR; 1; ; 221
Najeela, the Blade-Blossom; CMR; 1; ; 514
Nahiri, Storm of Stone; WAR; 2; ; 233
Nahiri's Stoneblades; WAR; 3; ; 139
Nahiri's Binding; ZNR; 2; ; 29
Nagging Thoughts; SOI; 1; ; 74
Naga Vitalist; AKH; 1; ; 176
Naga Eternal; WAR; 3; ; 60
Nadir Kraken; THB; 3; ; 55
Nadier, Agent of the Duskenel; CMR; 1; ; 135
Naban, Dean of Iteration; DOM; 2; ; 58
Mythos of Nethroi; IKO; 1; ; 97
Mystic Sanctuary; ELD; 1; ; 247
Mystic Reflection; KHM; 3; ; 69
Mystic Monastery; C20; 1; ; 293
Mystic Meditation; DTK; 2; ; 64
Mystic Forge; M20; 1; ; 233
Mysterious Pathlighter; ELD; 1; ; 22
Mysterious Egg; IKO; 2; ; 3
Myriad Landscape; C21; 1; ; 304
Myriad Landscape; ZNC; 2; ; 135
Mutual Destruction; IKO; 1; ; 96
Mutiny; RIX; 2; ; 106
Muse Drake; GRN; 2; ; 46
Muscle Sliver; PLIST; 1; ; 183
Murmuring Mystic; GRN; 2; ; 45
Murderous Rider // Swift End; ELD; 1; Foil; 97
Murderer's Axe; SOI; 1; ; 259
Murder; CMR; 1; ; 134
Murder; CMR; 1; Foil; 134
Murder; A25; 1; ; 98
Murder; MB1; 1; ; 717
Murder; ZNC; 1; ; 47
Murasa Sproutling; ZNR; 2; ; 196
Murasa Rootgrazer; ZNR; 4; ; 229
Murasa Brute; ZNR; 1; ; 195
Murasa Behemoth; MH1; 2; ; 172
Mummy Paramount; HOU; 1; ; 16
Multani, Yavimaya's Avatar; ZNC; 1; ; 75
Mugging; GTC; 1; ; 102
Mournwillow; EMN; 1; ; 187
Mount Velus Manticore; MH2; 1; ; 136
Mosswort Bridge; C18; 1; ; 267
Mosswort Bridge; C21; 1; ; 303
Mosscoat Goriak; IKO; 2; ; 167
Moss-Pit Skeleton; ZNR; 3; ; 228
Moss Diamond; CMR; 2; ; 327
Moss Diamond; CMR; 1; Foil; 327
Mortuary Mire; C18; 1; ; 266
Mortuary Mire; C19; 1; ; 260
Mortify; RNA; 1; ; 192
Mortality Spear; STX; 1; ; 207
Moroii; GK1; 1; ; 18
Morkrut Necropod; SOI; 1; ; 125
Moritte of the Frost; KHM; 3; ; 223
Morgue Burst; DGM; 1; ; 86
Mordenkainen's Polymorph; AFR; 2; ; 65
Mordenkainen; AFR; 1; ; 283
Moorland Inquisitor; M20; 1; ; 31
Moonlit Scavengers; ELD; 1; ; 57
Moonglove Extract; IMA; 1; ; 222
Moodmark Painter; GRN; 1; ; 78
Monstrous Onslaught; CMR; 1; ; 244
Monk Class; AFR; 1; Foil; 228
Momentum Rumbler; IKO; 1; ; 126
Momentary Blink; TSR; 2; ; 28
Moment of Triumph; RIX; 1; ; 15
Moment of Craving; RIX; 5; ; 79
Molten Slagheap; CMA; 1; ; 260
Molten Rain; MB1; 2; ; 1016
Molten Blast; ZNR; 3; ; 149
Molimo, Maro-Sorcerer; 10E; 1; ; 280
Moldgraf Scavenger; SOI; 2; ; 218
Moldering Karok; STX; 1; ; 206
Moldering Karok; STX; 1; Foil; 206
Molder Beast; CMR; 2; ; 243
Mogis's Favor; THB; 1; ; 107
Mogg War Marshal; TSR; 2; ; 176
Mobilized District; WAR; 1; ; 249
Mobile Garrison; AER; 1; ; 165
Moat Piranhas; M20; 2; ; 67
Moaning Wall; HOU; 2; ; 72
Mizzium Tank; WAR; 1; ; 138
Mizzium Mortars; RTR; 1; ; 101
Misty Rainforest; MH2; 1; ; 438
Mistwalker; KHM; 1; ; 68
Mistwalker; KHM; 1; Foil; 68
Mistveil Plains; UMA; 1; ; 247
Mists of Littjara; KHM; 3; ; 67
Mists of Littjara; KHM; 1; Foil; 67
Mistfire Weaver; KTK; 2; ; 46
Mist-Cloaked Herald; RIX; 4; ; 43
Mission Briefing; GRN; 3; ; 44
Mishra's Factory; MH2; 1; ; 302
Mischievous Quanar; PLIST; 1; ; 66
Mirrodin's Core; FMB1; 1; Foil; 119
Mirko Vosk, Mind Drinker; GK1; 1; ; 17
Mire's Grasp; THB; 3; ; 106
Ministrant of Obligation; RNA; 1; ; 16
Minion's Return; THB; 1; ; 104
Minion of the Mighty; AFR; 1; ; 156
Minion of the Mighty; AFR; 1; ; 320
Minimus Containment; AFR; 2; ; 24
Mine Collapse; MH2; 2; ; 135
Mine Collapse; MH2; 1; Foil; 135
Mindwrack Harpy; THB; 4; ; 276
Mindstatic; DGM; 1; ; 14
Mindstab; TSR; 1; ; 123
Mindcrank; IMA; 1; ; 220
Mind's Desire; STA; 2; ; 17
Mind Stone; ZNC; 1; ; 114
Mind Rot; M20; 2; ; 108
Mind Rake; MH1; 2; ; 96
Mind Flayer; AFR; 1; Foil; 63
Mind Carver; ZNR; 1; ; 113
Mina and Denn, Wildborn; ZNC; 1; ; 94
Miming Slime; GTC; 1; ; 126
Mimic; AFR; 1; ; 249
Mimic; AFR; 1; ; 349
Militia Bugler; M19; 1; ; 29
Militant Inquisitor; SOI; 3; ; 26
Migratory Greathorn; IKO; 1; ; 165
Migratory Greathorn; IKO; 1; ; 297
Migratory Greathorn; IKO; 1; Foil; 165
Migration Path; IKO; 2; ; 164
Mighty Leap; AKH; 1; ; 20
Mighty Leap; M19; 1; ; 28
Might of the Masses; M20; 1; ; 182
Might of the Masses; GRN; 2; ; 137
Might of the Masses; ORI; 1; ; 188
Might of Murasa; ZNR; 3; ; 194
Might Beyond Reason; SOI; 2; ; 217
Midnight Entourage; AER; 1; ; 66
Miara, Thorn of the Glade; CMR; 1; Foil; 133
Metropolis Sprite; M20; 2; ; 66
Meteoric Mace; CMR; 1; ; 192
Meteor Golem; CMR; 1; ; 325
Metamorphic Alteration; M19; 1; ; 60
Metalspinner's Puzzleknot; 2XM; 1; Foil; 273
Metalspinner's Puzzleknot; KLD; 1; ; 221
Metallic Rebuke; AER; 1; ; 39
Metallic Rebuke; 2XM; 2; Foil; 59
Messenger's Speed; THS; 1; ; 129
Mesmerizing Benthid; RNA; 2; ; 43
Mesa Unicorn; DOM; 2; ; 27
Mesa Lynx; ZNR; 3; ; 28
Merfolk Windrobber; ZNR; 2; ; 70
Merfolk Windrobber; ZNR; 2; Foil; 70
Merfolk Skydiver; WAR; 2; ; 205
Merfolk of the Depths; GTC; 1; ; 221
Merfolk Mistbinder; RIX; 1; ; 164
Merfolk Looter; MB1; 1; ; 426
Merfolk Falconer; ZNR; 1; ; 69
Merfolk Branchwalker; XLN; 1; ; 197
Mercurial Transformation; STX; 4; Foil; 47
Merciless Resolve; SOI; 1; ; 123
Merciless Javelineer; AKH; 2; ; 202
Merchant Raiders; CMR; 1; ; 81
Merchant of the Vale // Haggle; ELD; 2; ; 131
Mephitic Vapors; GRN; 1; ; 76
Mephitic Vapors; MB1; 1; ; 709
Mentor's Guidance; STX; 2; ; 46
Mentor's Guidance; STX; 2; Foil; 46
Mental Journey; MH2; 2; ; 51
Memory Theft; ELD; 2; ; 96
Memory Leak; IKO; 2; ; 95
Memory Lapse; STA; 2; ; 16
Memorial to War; DOM; 1; ; 246
Memorial to Glory; DOM; 1; ; 244
Meandering River; DOM; 4; ; 274
Meandering River; OGW; 1; ; 173
Mazirek, Kraul Death Priest; 2XM; 1; ; 209
Maze Sentinel; DGM; 2; ; 4
Maze Rusher; DGM; 1; ; 33
Maze Glider; DGM; 1; ; 13
Maze Abomination; DGM; 1; ; 26
Mayhem Devil; WAR; 1; ; 204
Maximize Velocity; GRN; 1; ; 111
Maximize Velocity; MB1; 1; ; 1010
Maw of Kozilek; OGW; 1; ; 99
Mausoleum Turnkey; RAV; 1; ; 94
Mausoleum Harpy; RIX; 1; ; 78
Maulfist Revolutionary; AER; 1; ; 115
Maulfist Doorbuster; KLD; 1; ; 123
Maul of the Skyclaves; ZNR; 1; ; 27
Mathas, Fiend Seeker; C17; 1; Foil; 42
Masterful Replication; M20; 1; ; 65
Master Thief; ZNC; 1; ; 30
Master Symmetrist; STX; 1; ; 138
Master Skald; KHM; 1; ; 19
Master of Etherium; 2XM; 1; ; 57
Master Biomancer; C21; 1; ; 224
Massacre Girl; WAR; 1; ; 99
Mass of Ghouls; TSR; 2; ; 122
Maskwood Nexus; KHM; 1; ; 240
Masked Vandal; KHM; 3; ; 184
Masked Blackguard; M21; 1; ; 113
Mask of Immolation; M20; 1; ; 151
Mask of Immolation; M20; 1; Foil; 151
Mascot Interception; STX; 1; ; 110
Mascot Exhibition; STX; 1; ; 5
Marwyn, the Nurturer; DOM; 1; ; 172
Martyr of Dusk; RIX; 4; ; 14
Martyr for the Cause; WAR; 2; ; 23
Marsh Flitter; ZNC; 1; ; 46
Mark of the Vampire; MB1; 1; ; 707
Mark of the Vampire; UMA; 3; ; 105
Mark of Mutiny; IMA; 1; ; 139
Mardu Warshrieker; MB1; 1; ; 1008
Mardu Hateblade; KTK; 1; ; 16
March of the Returned; THS; 1; ; 96
March of the Drowned; XLN; 2; ; 112
Marble Gargoyle; MH2; 1; ; 21
Marble Gargoyle; MH2; 1; Foil; 21
Marauding Boneslasher; HOU; 2; ; 70
Marauding Blight-Priest; ZNR; 5; ; 112
Marauding Blight-Priest; ZNR; 2; Foil; 112
Marauder's Axe; M19; 1; ; 240
Marauder's Axe; M20; 1; ; 231
Marang River Prowler; ZNC; 1; ; 29
Maraleaf Rider; ELD; 1; ; 166
Mantle of Tides; ELD; 2; ; 52
Manticore of the Gauntlet; AKH; 1; ; 142
Manticore; AFR; 2; ; 113
Manticore; AFR; 1; ; 314
Manifestation Sage; STX; 2; ; 205
Manic Scribe; SOI; 1; ; 73
Manglehorn; AKH; 1; ; 175
Maned Serval; IKO; 3; ; 23
Manamorphose; 2XM; 1; Foil; 208
Manalith; HOU; 3; ; 164
Managorger Hydra; C21; 1; ; 199
Mana Tithe; STA; 1; ; 8
Mana Tithe; TSR; 1; ; 26
Mana Leak; IMA; 1; ; 66
Mana Geyser; 5DN; 1; ; 75
Mana Geode; WAR; 4; ; 241
Man-o'-War; MH1; 2; ; 55
Mammoth Spider; M20; 2; ; 181
Mammoth Spider; DOM; 1; ; 171
Mammoth Growth; KHM; 4; ; 183
Malevolent Noble; ELD; 1; ; 95
Malefic Scythe; M21; 1; ; 112
Malcolm, Keen-Eyed Navigator; CMR; 2; ; 79
Malakir Blood-Priest; ZNR; 3; ; 110
Malakir Blood-Priest; ZNR; 1; Foil; 110
Makindi Stampede; ZNR; 1; ; 26
Makindi Ox; ZNR; 3; ; 25
Makindi Ox; ZNR; 2; ; 293
Makindi Ox; ZNR; 1; Foil; 293
Makindi Aeronaut; OGW; 1; ; 27
Makeshift Munitions; CMR; 3; ; 191
Makeshift Munitions; CMR; 1; Foil; 191
Makeshift Battalion; M21; 1; ; 26
Makeshift Battalion; WAR; 3; ; 22
Make Your Mark; STX; 4; ; 204
Make Your Mark; STX; 1; Foil; 204
Make a Stand; M19; 1; ; 26
Majestic Auricorn; IKO; 1; ; 281
Maja, Bretagard Protector; KHM; 1; ; 222
Mahamoti Djinn; MB1; 2; ; 419
Magus of the Moon; IMA; 1; ; 138
Magmatic Chasm; SOI; 1; ; 172
Magmatic Channeler; ZNR; 1; ; 148
Magma Spray; AKH; 3; ; 141
Magma Spray; JOU; 1; ; 103
Magma Opus; STX; 1; ; 203
Magma Opus; STX; 1; Foil; 346
Magma Jet; THS; 1; ; 128
Magistrate's Scepter; M19; 1; ; 238
Mage-Ring Network; UMA; 5; ; 246
Mage Hunter; STX; 2; ; 76
Mage Duel; STX; 2; ; 137
Mage Duel; STX; 1; Foil; 137
Maelstrom Muse; STX; 2; ; 202
Maelstrom Muse; STX; 1; Foil; 202
Maelstrom Colossus; CMR; 3; ; 322
Maddening Cacophony; ZNR; 2; ; 67
Mad Ratter; ELD; 1; ; 130
Mad Prophet; SOI; 1; ; 171
Macabre Waltz; SOI; 2; ; 121
Maalfeld Twins; CMR; 3; ; 132
Lymph Sliver; TSR; 1; ; 25
Luxa River Shrine; AKH; 1; ; 232
Lutri, the Spellchaser; IKO; 1; ; 227
Lurking Roper; AFR; 1; ; 194
Lurching Rotbeast; HOU; 1; ; 69
Lunarch Mantle; A25; 1; ; 24
Luminous Bonds; M19; 1; ; 25
Luminous Bonds; GRN; 1; ; 21
Luminous Bonds; RIX; 2; ; 12
Luminous Bonds; RIX; 1; Foil; 12
Luminarch Aspirant; ZNR; 2; ; 24
Lumengrid Gargoyle; CMR; 1; ; 321
Lumbering Falls; C21; 1; ; 299
Lullmage's Familiar; ZNR; 3; ; 227
Lullmage's Domination; ZNR; 3; ; 66
Lukka, Coppercoat Outcast; IKO; 1; ; 125
Lucky Clover; ELD; 1; ; 226
Lucid Dreams; MH2; 1; ; 50
Loxodon Warhammer; MB1; 2; ; 1602
Loxodon Sergeant; WAR; 2; ; 21
Loxodon Restorer; GRN; 4; ; 20
Lovestruck Beast // Heart's Desire; ELD; 1; ; 165
Lovestruck Beast // Heart's Desire; ELD; 1; ; 299
Lotus Cobra; ZNR; 1; ; 193
Lotus Cobra; ZNR; 2; ; 307
Lost Auramancers; TSR; 1; ; 24
Lose Focus; MH2; 2; ; 49
Lorehold Pledgemage; STX; 2; ; 201
Lorehold Excavation; STX; 1; ; 200
Lorehold Campus; STX; 2; ; 268
Lorehold Campus; STX; 1; Foil; 268
Looter il-Kor; TSR; 2; ; 74
Looming Spires; BFZ; 1; ; 238
Lookout's Dispersal; XLN; 1; ; 62
Lonis, Cryptozoologist; MH2; 1; ; 370
Long Rest; AFR; 1; ; 193
Lonesome Unicorn // Rider in Need; ELD; 1; ; 21
Lonely Sandbar; C21; 1; ; 298
Lone Missionary; MB1; 1; ; 163
Logic Knot; TSR; 2; ; 73
Locthwain Paladin; ELD; 1; ; 93
Locthwain Gargoyle; ELD; 1; ; 225
Loathsome Curator; MH2; 1; ; 91
Loathsome Chimera; THB; 1; ; 177
Loam Larva; OGW; 1; ; 135
Loam Dryad; SOI; 1; ; 216
Llanowar Tribe; MH1; 1; ; 170
Llanowar Reborn; C21; 1; ; 296
Llanowar Mentor; TSR; 1; ; 216
Llanowar Envoy; DOM; 1; ; 169
Llanowar Elves; DOM; 1; ; 168
Livio, Oathsworn Sentinel; CMR; 1; ; 31
Livio, Oathsworn Sentinel; CMR; 2; ; 551
Living Twister; ZNC; 1; ; 93
Living Tempest; ZNR; 8; ; 65
Living Tempest; ZNR; 3; Foil; 65
Live Fast; KLD; 2; ; 87
Littjara Mirrorlake; KHM; 2; ; 264
Littjara Glade-Warden; KHM; 1; ; 182
Lithoform Blight; ZNR; 2; ; 109
Liquimetal Torque; MH2; 1; ; 228
Linvala, Shield of Sea Gate; ZNR; 1; ; 226
Linvala, Shield of Sea Gate; ZNR; 1; Foil; 226
Lingering Phantom; DOM; 1; ; 99
Linden, the Steadfast Queen; ELD; 1; ; 20
Limits of Solidarity; AKH; 1; ; 140
Liliana's Triumph; WAR; 1; ; 98
Liliana's Steward; M21; 1; ; 300
Liliana's Defeat; HOU; 2; ; 68
Lightning-Rig Crew; CMR; 1; ; 190
Lightning Talons; BBD; 1; ; 180
Lightning Strike; M19; 1; ; 152
Lightning Strike; XLN; 2; ; 149
Lightning Stormkin; M20; 2; ; 213
Lightning Javelin; ORI; 1; ; 153
Lightning Helix; STA; 1; ; 62
Lightning Axe; 2XM; 2; ; 135
Lightning Axe; TSR; 1; ; 174
Light of Promise; M21; 1; ; 25
Lifecrafter's Gift; AER; 1; ; 114
Lifecrafter's Gift; CMR; 1; ; 240
Lifecraft Cavalry; AER; 5; ; 113
Lifecraft Awakening; AER; 1; ; 112
Life Goes On; HOU; 1; ; 121
Liege of the Tangle; 2XM; 1; ; 174
Licia, Sanguine Tribune; C17; 1; Foil; 40
Liberated Dwarf; JUD; 1; ; 95
Leyline Tyrant; ZNR; 1; ; 348
Leyline Prowler; WAR; 1; ; 202
Leyline Phantom; GTC; 1; ; 41
Leyline of the Void; M20; 1; ; 107
Leyline Invocation; STX; 2; ; 136
Letter of Acceptance; STX; 2; ; 256
Lethal Sting; HOU; 1; ; 67
Leonin Vanguard; M19; 1; ; 22
Leonin Shikari; C17; 1; ; 66
Leonin Relic-Warder; MB1; 1; ; 158
Leonin Lightscribe; STX; 1; ; 20
Legion's Judgment; XLN; 3; ; 21
Legion Lieutenant; RIX; 2; ; 163
Legion Conquistador; RIX; 5; ; 11
Leech Fanatic; STX; 1; ; 75
Leech Fanatic; STX; 1; Foil; 75
Ledev Guardian; GRN; 2; ; 18
Ledev Champion; GRN; 1; ; 186
Leave in the Dust; AER; 3; ; 37
Leather Armor; AFR; 1; Foil; 248
Leapfrog; GRN; 3; ; 42
Leafkin Druid; M20; 4; ; 178
Lead by Example; OGW; 1; ; 134
Lazotep Reaver; WAR; 2; ; 96
Lazotep Plating; WAR; 2; ; 59
Lazav, Dimir Mastermind; GK1; 1; ; 16
Lazav, Dimir Mastermind; ZNC; 1; ; 92
Lawmage's Binding; MB1; 1; ; 1447
Lawmage's Binding; RNA; 2; ; 190
Law-Rune Enforcer; WAR; 3; ; 20
Lava Serpent; IKO; 5; ; 124
Lava Dart; JUD; 1; ; 94
Lava Dart; MH1; 1; ; 134
Lathnu Sailback; AER; 2; ; 89
Lathliss, Dragon Queen; GN2; 1; ; 41
Lathiel, the Bounteous Dawn; CMR; 1; ; 285
Latchkey Faerie; ZNC; 1; ; 28
Last Gasp; BBD; 2; ; 147
Last Gasp; GK1; 1; ; 5
Last Gasp; JMP; 1; ; 247
Last Breath; THS; 1; ; 22
Lash of Thorns; ELD; 3; ; 92
Lash of the Whip; THS; 1; ; 94
Lash of Malice; STX; 1; ; 74
Larger Than Life; KLD; 1; ; 160
Lantern of Insight; FMB1; 1; Foil; 104
Landscaper Colos; MH2; 1; ; 18
Landscaper Colos; MH2; 1; Foil; 18
Land Aid '04; UNH; 1; ; 102
Lamplighter of Selhoff; SOI; 2; ; 72
Lampad of Death's Vigil; THB; 1; ; 103
Lagonna-Band Trailblazer; JOU; 1; ; 14
Lagonna-Band Storyteller; THB; 1; ; 27
Labyrinth Raptor; IKO; 1; ; 193
Labyrinth Guardian; AKH; 1; ; 60
Laboratory Maniac; TSR; 1; ; 309
Kwende, Pride of Femeref; DOM; 1; ; 25
Kwain, Itinerant Meddler; CMR; 1; ; 284
Kumena, Tyrant of Orazca; RIX; 1; ; 162
Kumena's Speaker; XLN; 2; ; 196
Kumena's Awakening; RIX; 1; ; 42
Krydle of Baldur's Gate; AFR; 3; ; 226
Krosan Wayfarer; JUD; 1; ; 123
Krosan Verge; C19; 2; ; 257
Krosan Tusker; MH1; 2; ; 169
Krosan Grip; C21; 1; ; 198
Krosan Grip; TSR; 1; ; 214
Krosan Druid; DOM; 1; ; 167
Kronch Wrangler; WAR; 1; ; 166
Kraul Swarm; GRN; 1; ; 73
Kraul Stinger; WAR; 3; ; 165
Kraul Foragers; GRN; 1; ; 135
Kraken Hatchling; BBD; 2; ; 121
Kozilek's Translator; OGW; 1; ; 74
Kozilek's Sentinel; BFZ; 1; ; 129
Kozilek's Predator; 2XM; 1; ; 173
Kozilek's Pathfinder; OGW; 1; ; 5
Kor Scythemaster; OGW; 1; ; 23
Kor Dirge; TSR; 1; ; 120
Kor Celebrant; ZNR; 5; ; 22
Kor Castigator; BFZ; 1; ; 35
Kor Cartographer; CMR; 2; ; 30
Kor Cartographer; ZNC; 1; ; 18
Kor Bladewhirl; BFZ; 1; ; 34
Kor Blademaster; ZNR; 1; ; 21
Kopala, Warden of Waves; XLN; 1; ; 61
Koma's Faithful; KHM; 3; ; 102
Koma's Faithful; KHM; 1; Foil; 102
Koll, the Forgemaster; KHM; 3; ; 220
Koll, the Forgemaster; KHM; 3; ; 325
Kolaghan's Command; MB1; 1; ; 1445
Kolaghan Stormsinger; MB1; 1; ; 995
Kolaghan Skirmisher; DTK; 1; ; 107
Kogla, the Titan Ape; IKO; 2; ; 162
Kodama's Reach; C21; 1; ; 197
Kodama's Reach; ZNC; 1; ; 73
Kodama of the East Tree; CMR; 1; Foil; 239
Knighted Myr; MH2; 2; ; 17
Knight of the Tusk; M19; 1; ; 18
Knight of the Stampede; RIX; 2; ; 138
Knight of the Keep; ELD; 1; ; 19
Knight of the Holy Nimbus; TSR; 1; ; 23
Knight of Sursi; TSR; 1; ; 22
Knight of Sorrows; RNA; 4; ; 14
Knight of New Benalia; DOM; 4; ; 24
Klothys's Design; THB; 1; ; 176
Kitsune Dawnblade; SOK; 1; ; 16
Kitesail Skirmisher; CMR; 4; ; 77
Kitesail Freebooter; XLN; 2; ; 110
Kitesail Corsair; CMR; 4; ; 76
Kitesail Corsair; CMR; 1; Foil; 76
Kitesail Corsair; RIX; 2; ; 41
Kitesail Cleric; ZNR; 1; ; 20
Kitchen Imp; MH2; 1; ; 89
Kiora, Behemoth Beckoner; WAR; 1; ; 232
Kiora's Dambreaker; WAR; 1; ; 58
Kinsbaile Courier; CMR; 1; ; 29
Kinsbaile Courier; CMR; 1; Foil; 29
Kinjalli's Caller; XLN; 2; ; 18
Kingpin's Pet; PLIST; 1; ; 215
King Harald's Revenge; KHM; 2; ; 180
Kindred Boon; C17; 1; ; 5
Kindled Fury; HOU; 2; ; 101
Kiln Fiend; IMA; 1; ; 137
Kick in the Door; AFR; 2; ; 153
Kheru Dreadmaw; KTK; 1; ; 76
Kher Keep; TSR; 1; ; 281
Khenra Scrapper; HOU; 3; ; 100
Khalni Heart Expedition; ZNC; 1; ; 72
Khalni Ambush; ZNR; 1; ; 192
Khalni Ambush; ZNR; 1; Foil; 192
Keymaster Rogue; GTC; 1; ; 39
Ketria Triome; IKO; 1; ; 310
Ketria Crystal; IKO; 2; ; 236
Kessig Forgemaster; SOI; 1; ; 169
Kessig Dire Swine; SOI; 2; ; 214
Kess, Dissident Mage; MH1; 1; ; 206
Keskit, the Flesh Sculptor; CMR; 1; ; 565
Keruga, the Macrosage; IKO; 1; ; 225
Kemba, Kha Regent; 2XM; 1; ; 19
Kelpie Guide; STX; 5; ; 45
Keleth, Sunmane Familiar; CMR; 1; ; 28
Keleth, Sunmane Familiar; CMR; 3; ; 550
